sample	description	day
Plate1-A11	dPD.13d.post.weaning	13
Plate1-A12	dPD.13d.post.weaning.6d.post.crypto	13
Plate1-B11	dPD.13d.post.weaning	13
Plate1-B12	dPD.13d.post.weaning.6d.post.crypto	13
Plate1-C11	dPD.13d.post.weaning.6d.post.crypto	13
Plate1-C12	dPD.13d.post.weaning.6d.post.crypto	13
Plate1-D10	dPD.13d.post.weaning	13
Plate1-D11	dPD.13d.post.weaning.6d.post.crypto	13
Plate1-D12	dPD.13d.post.weaning.6d.post.crypto	13
Plate1-E10	dPD.13d.post.weaning	13
Plate1-E11	dPD.13d.post.weaning.6d.post.crypto	13
Plate1-E12	dPD.13d.post.weaning.6d.post.crypto	13
Plate1-F10	dPD.13d.post.weaning	13
Plate1-F11	dPD.13d.post.weaning.6d.post.crypto	13
Plate1-F12	dPD.13d.post.weaning.6d.post.crypto	13
Plate1-G10	dPD.13d.post.weaning	13
Plate1-G11	dPD.13d.post.weaning.6d.post.crypto	13
Plate1-G12	dPD.13d.post.weaning.6d.post.crypto	13
Plate1-H10	dPD.13d.post.weaning	13
Plate1-H11	dPD.13d.post.weaning.6d.post.crypto	13
Plate2-A1	dPD.13d.post.weaning.6d.post.crypto	13
Plate2-A4	dPD.14d.post.weaning.7d.post.crypto	14
Plate2-A8	dPD.20d.post.weaning.13d.post.crypto	20
Plate2-B1	dPD.13d.post.weaning.6d.post.crypto	13
Plate2-B2	dPD.14d.post.weaning	14
Plate2-B4	dPD.14d.post.weaning.7d.post.crypto	14
Plate2-B8	dPD.20d.post.weaning.13d.post.crypto	20
Plate2-C1	dPD.13d.post.weaning.6d.post.crypto	13
Plate2-C2	dPD.14d.post.weaning	14
Plate2-C3	dPD.14d.post.weaning.7d.post.crypto	14
Plate2-C4	dPD.14d.post.weaning.7d.post.crypto	14
Plate2-C8	dPD.20d.post.weaning.13d.post.crypto	20
Plate2-D2	dPD.14d.post.weaning	14
Plate2-D3	dPD.14d.post.weaning.7d.post.crypto	14
Plate2-D6	dPD.20d.post.weaning	20
Plate2-D8	dPD.20d.post.weaning.13d.post.crypto	20
Plate2-E2	dPD.14d.post.weaning	14
Plate2-E3	dPD.14d.post.weaning.7d.post.crypto	14
Plate2-E6	dPD.20d.post.weaning	20
Plate2-E7	dPD.20d.post.weaning.13d.post.crypto	20
Plate2-F2	dPD.14d.post.weaning	14
Plate2-F3	dPD.14d.post.weaning.7d.post.crypto	14
Plate2-F6	dPD.20d.post.weaning	20
Plate2-F7	dPD.20d.post.weaning.13d.post.crypto	20
Plate2-G3	dPD.14d.post.weaning.7d.post.crypto	14
Plate2-G6	dPD.20d.post.weaning	20
Plate2-G7	dPD.20d.post.weaning.13d.post.crypto	20
Plate2-H3	dPD.14d.post.weaning.7d.post.crypto	14
Plate2-H7	dPD.20d.post.weaning.13d.post.crypto	20
